displayName,rankingSortRank
University of Pennsylvania,1
Emory University,2
Duke University,3
University of Michigan--Ann Arbor,3
Case Western Reserve University,5
The Ohio State University,5
University of North Carolina at Chapel Hill,5
University of Washington,5
New York University,9
Oregon Health and Science University,9
