displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
The Pennsylvania State University,22,https://www.usnews.com/dims4/USNEWS/741ee69/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0e%2F5de474cdda2fe39ff0c60d2db0259e%2Fcollege-photo_5953.jpg,"University Park, PA",Penn State Pennsylvania State University University Park
"University of California, San Diego",22,https://www.usnews.com/dims4/USNEWS/358fb66/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8e%2F30bc9db5b245b89c5d9063acd2ceb4%2Fcollege-photo_19990.jpg,"La Jolla, CA",UCSD University of California San Diego
"University of Maryland, College Park",22,https://www.usnews.com/dims4/USNEWS/919418b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fdb%2F35601f3f60a9564fed7dbb5674f765%2Fcollege-photo_23577.jpg,"College Park, MD",UMD UMCP University of Maryland College Park
University of Pennsylvania,22,https://www.usnews.com/dims4/USNEWS/69b6621/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7c%2F2357eaa9bde06e03bfb80c920320a0%2Fcollege-photo_27654.jpg,"Philadelphia, PA",UPenn
University of Washington,22,https://www.usnews.com/dims4/USNEWS/e076565/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F06%2F034e31d063521a543bb42f6f2c00b6%2F_20180227_Fall-Fling_216.jpg,"Seattle, WA",
Harvard University,27,https://www.usnews.com/dims4/USNEWS/f631f63/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F65%2F09a2103d862fb8eb15a9a6542c080b%2Fcollege-photo_8866.jpg,"Cambridge, MA",
The Ohio State University,27,https://www.usnews.com/dims4/USNEWS/e7133d6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F4d%2F068670b264e2badab91987f4639cbc%2Fcollege-photo_21645.jpg,"Columbus, OH",OSU  Ohio State University Columbus
"University of Minnesota, Twin Cities",27,https://www.usnews.com/dims4/USNEWS/dc78d1c/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1a%2F57ee27ac94e22161e9c049b7e44c48%2Fcollege-photo_25995.jpg,"Minneapolis, MN",University of Minnesota Twin Cities
"University of California, Davis",30,https://www.usnews.com/dims4/USNEWS/a2125ae/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0c%2Fec8a2b1ae32ba1d7937497c0fea02e%2Fcollege-photo_35047.jpg,"Davis, CA",UC Davis University of California Davis
University of Colorado Boulder,30,https://www.usnews.com/dims4/USNEWS/68954b9/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb7%2F029f7721431e45fe47d6a961289c63%2FCUBouder_Campuslife1.JPG,"Boulder, CO",CU Boulder University of Colorado Boulder
University of Southern California,30,https://www.usnews.com/dims4/USNEWS/9913178/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd9%2Feab50c4d7d394ddf2eafc05777c45f%2Fcollege-photo_11618.jpg,"Los Angeles, CA",USC Southern Cal
Arizona State University,33,https://www.usnews.com/dims4/USNEWS/5edb98c/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd0%2Ff2a8c0a903b07fc0670e8ae1dd4a74%2Fcollege-photo_30360.jpg,"Tempe, AZ",ASU
Brown University,33,https://www.usnews.com/dims4/USNEWS/8c86c72/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd1%2Ffe377768fbb26f45239bd82b4b41d0%2F20191020_COMM_coheamarketing121.png,"Providence, RI",
North Carolina State University,33,https://www.usnews.com/dims4/USNEWS/88ffe78/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F34%2F12%2F8fa2bd9b4d8ba84047255a13127a%2F210402-ncstate1-submitted.jpg,"Raleigh, NC",NC State North Carolina State University Raleigh
Rensselaer Polytechnic Institute,33,https://www.usnews.com/dims4/USNEWS/04067b4/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F62%2Fdf%2F97c02641404cbda594288dcae2f3%2Forigstudentconnect-college.jpg,"Troy, NY",RPI
"University of California, Santa Barbara",33,https://www.usnews.com/dims4/USNEWS/6c2ad30/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F13%2F975f931d5bf105fd4c372243ea494b%2FUC-Santa-Barbara-_49A3469-web.jpg,"Santa Barbara, CA",UCSB UC Santa Barbara University of California Santa Barbara
University of Florida,33,https://www.usnews.com/dims4/USNEWS/aa1b863/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc9%2F844457842f898f790238b07f5a20a5%2F2021-04-20_Campus-Photos-2.jpg,"Gainesville, FL",
