displayName,rankingSortRank
Carnegie Mellon University,1
Massachusetts Institute of Technology,1
Stanford University,1
"University of California, Berkeley",1
Cornell University,5
Georgia Institute of Technology,5
Princeton University,5
University of Illinois Urbana-Champaign,5
California Institute of Technology,9
University of Washington,9
