displayName,rankingSortRank,primaryPhotoCardSmall,primaryPhotoThumb,location,isPublic,aliasNames
Milwaukee Institute of Art and Design,23,https://www.usnews.com/dims4/USNEWS/8af92ab/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb8%2F9189cc6a8af5c5efe4b932d2286059%2Fcollege-photo_26349.jpg,https://www.usnews.com/dims4/USNEWS/bb2c9a7/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb8%2F9189cc6a8af5c5efe4b932d2286059%2Fcollege-photo_26349.jpg,"Milwaukee, WI",True,MIAD
Minneapolis College of Art and Design,24,https://www.usnews.com/dims4/USNEWS/3555b67/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fef%2F5c2e4abf389519d6d27bed073e1315%2Fcollege-photo_9558.jpg,https://www.usnews.com/dims4/USNEWS/8390bf9/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fef%2F5c2e4abf389519d6d27bed073e1315%2Fcollege-photo_9558.jpg,"Minneapolis, MN",True,
Moore College of Art & Design,25,https://www.usnews.com/dims4/USNEWS/48fcb23/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F16%2F32f1b63db5bcbcd85bcdc933451d60%2Fcollege-photo_21033.jpg,https://www.usnews.com/dims4/USNEWS/790c891/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F16%2F32f1b63db5bcbcd85bcdc933451d60%2Fcollege-photo_21033.jpg,"Philadelphia, PA",True,
New England Conservatory of Music,26,,,"Boston, MA",True,
New York School of Interior Design,27,,,"New York, NY",True,
Otis College of Art and Design,28,,,"Los Angeles, CA",True,
Pacific Northwest College of Art,29,,,"Portland, OR",True,
Pennsylvania Academy of the Fine Arts,30,,,"Philadelphia, PA",True,
Pennsylvania College of Art & Design,31,,,"Lancaster, PA",True,
Pratt Institute,32,https://www.usnews.com/dims4/USNEWS/14e5d19/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5c%2Fd8b5e8f38ff6cfd2fc11a8fa30b250%2Fcollege-photo_13684.jpg,https://www.usnews.com/dims4/USNEWS/eefd20e/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5c%2Fd8b5e8f38ff6cfd2fc11a8fa30b250%2Fcollege-photo_13684.jpg,"Brooklyn, NY",True,
Puerto Rico Conservatory of Music,33,,,"San Juan, PR",True,
Ringling College of Art and Design,34,,,"Sarasota, FL",True,
San Francisco Conservatory of Music,35,https://www.usnews.com/dims4/USNEWS/e1325b3/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3f%2Fb4c3ebcb8ad1cf935a09f2e4d1437c%2Fcollege-photo_31723.jpg,https://www.usnews.com/dims4/USNEWS/5127740/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3f%2Fb4c3ebcb8ad1cf935a09f2e4d1437c%2Fcollege-photo_31723.jpg,"San Francisco, CA",True,
School of the Art Institute of Chicago,36,https://www.usnews.com/dims4/USNEWS/8f7635b/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb4%2Ffb1ce79a718868fa3e10f8518a3076%2Fcollege-photo_18089.jpg,https://www.usnews.com/dims4/USNEWS/d9edfde/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb4%2Ffb1ce79a718868fa3e10f8518a3076%2Fcollege-photo_18089.jpg,"Chicago, IL",True,SAIC
University of North Carolina School of the Arts,37,https://www.usnews.com/dims4/USNEWS/f9d9e6e/17177859217/thumbnail/196x196/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3c%2F4e854f5a5b97072f38b466f5776ce4%2Fcollege-photo_25973.jpg,https://www.usnews.com/dims4/USNEWS/be762b8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3c%2F4e854f5a5b97072f38b466f5776ce4%2Fcollege-photo_25973.jpg,"Winston-Salem, NC",True,
University of the Arts,38,,,"Philadelphia, PA",True,UArts
